,index_left,culture,food_drink,hotel,pub_bar,school,shop_mall,undefined
113,155.0,0.0,2.0,3.0,0.0,0.0,0.0,1.0
114,156.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
115,157.0,1.0,1.0,1.0,0.0,0.0,2.0,1.0
116,158.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0
117,159.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0
118,160.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0
119,161.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
120,162.0,1.0,0.0,0.0,0.0,0.0,3.0,3.0
121,163.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
122,164.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
123,165.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
124,166.0,0.0,2.0,1.0,0.0,0.0,1.0,3.0
125,167.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
126,168.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
127,170.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
128,171.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
129,172.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0
130,173.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
131,175.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
132,176.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
133,177.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
134,178.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
135,179.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
136,180.0,0.0,1.0,0.0,1.0,0.0,0.0,3.0
137,182.0,0.0,1.0,0.0,2.0,0.0,1.0,2.0
