,index,Longitude,Latitude,geometry,Severity,Number Of Casualties,Day,Road Type,Speed Limit,Junction Detail,Junction Control,Pedestrian Crossing,Light Condition Band,Weather,Road Surface,Special Conditions,Carriage Way Hazard,Year,Month,Hour,index_right,dis
83,83,-0.138658,51.536189,POINT (529193.8176062899 183562.322211015),3 slight,1,Tuesday,2 one-way st,1 <= 20 mph,6 crossroads,3 stop sign,1 zebra,2 dark,1 fine,1 road-dry,0 none,0 none,2019,2,19,493.0,1.8459448971064083
85,85,-0.127908,51.514238,POINT (530001.8008224643 181140.3119298549),3 slight,1,Wednesday,6 single cwy,2 30 mph,6 crossroads,4 give way/uncontrolled,1 zebra,2 dark,2 raining,2 road-wet,0 none,0 none,2016,1,22,307.0,7.070165058366803
87,87,-0.143584,51.536339,POINT (528851.7685306162 183570.3226422948),3 slight,1,Tuesday,6 single cwy,1 <= 20 mph,6 crossroads,3 stop sign,1 zebra,1 daylight,1 fine,1 road-dry,0 none,0 none,2017,11,12,628.0,11.788929137328566
88,88,-0.134722,51.530893,POINT (529481.8001826678 182980.3382529569),3 slight,1,Thursday,6 single cwy,1 <= 20 mph,3 t/stag jun,4 give way/uncontrolled,0 no xing facility in 50m,1 daylight,1 fine,1 road-dry,0 none,0 none,2018,7,8,440.0,0.39286388110426523
89,89,-0.139832,51.541711,POINT (529096.7849035405 184174.3205980891),3 slight,1,Saturday,6 single cwy,1 <= 20 mph,3 t/stag jun,4 give way/uncontrolled,0 no xing facility in 50m,2 dark,1 fine,1 road-dry,0 none,0 none,2017,3,4,465.0,14.261967562174124
90,90,-0.138652,51.526459,POINT (529221.7607444191 182480.3180509812),3 slight,1,Monday,3 dual cwy,1 <= 20 mph,6 crossroads,2 auto sig,5 pedn phase at ats,2 dark,2 raining,2 road-wet,0 none,0 none,2017,11,5,881.0,2.692599816667681
91,91,-0.114186,51.525439,POINT (530921.7983752401 182410.3469908459),3 slight,1,Friday,3 dual cwy,1 <= 20 mph,3 t/stag jun,4 give way/uncontrolled,1 zebra,1 daylight,1 fine,1 road-dry,0 none,0 none,2018,2,7,118.0,7.784007699922627
94,94,-0.127841,51.524668,POINT (529976.7756677017 182300.2846689133),3 slight,1,Monday,6 single cwy,2 30 mph,6 crossroads,2 auto sig,5 pedn phase at ats,1 daylight,1 fine,1 road-dry,0 none,0 none,2017,12,14,292.0,5.493634944901035
95,95,-0.127077,51.516922,POINT (530051.8207776489 181440.2575765951),3 slight,1,Monday,6 single cwy,2 30 mph,6 crossroads,2 auto sig,5 pedn phase at ats,1 daylight,2 raining,2 road-wet,0 none,0 none,2017,11,8,335.0,11.249733830938053
98,98,-0.150049,51.5618,POINT (528331.8038995395 186390.3419260416),3 slight,1,Friday,9 unknown,1 <= 20 mph,3 t/stag jun,9 unknown (s/r),1 zebra,1 daylight,8 other,1 road-dry,9 unknown (s/r),0 none,2018,7,12,1432.0,6.582338574463287
100,100,-0.113296,51.521513,POINT (530994.792760329 181975.3536425452),3 slight,1,Tuesday,6 single cwy,1 <= 20 mph,6 crossroads,2 auto sig,5 pedn phase at ats,1 daylight,1 fine,1 road-dry,0 none,0 none,2019,4,16,124.0,1.905719695146131
101,101,-0.128211,51.513883,POINT (529981.7869378492 181100.2969031265),3 slight,1,Monday,6 single cwy,1 <= 20 mph,3 t/stag jun,4 give way/uncontrolled,0 no xing facility in 50m,1 daylight,1 fine,1 road-dry,0 none,0 none,2017,8,16,303.0,8.58362392676992
102,102,-0.1492,51.543622,POINT (528441.8012574837 184370.355451947),2 serious,1,Friday,6 single cwy,2 30 mph,0 no jun in 20m,-2 not applicable,0 no xing facility in 50m,1 daylight,1 fine,1 road-dry,0 none,0 none,2017,2,14,720.0,6.312800968209864
103,103,-0.198156,51.541956,POINT (525051.7287770925 184100.3385685193),3 slight,1,Tuesday,6 single cwy,2 30 mph,6 crossroads,2 auto sig,4 pelican or similar,2 dark,1 fine,1 road-dry,0 none,0 none,2017,1,0,1789.0,17.6225367726221
104,104,-0.12064,51.519247,POINT (530491.7843307591 181710.2556360487),2 serious,1,Friday,6 single cwy,2 30 mph,3 t/stag jun,4 give way/uncontrolled,0 no xing facility in 50m,2 dark,1 fine,1 road-dry,0 none,0 none,2016,2,23,260.0,6.358332155839577
105,105,-0.142757,51.538934,POINT (528901.7961692701 183860.3530687818),3 slight,1,Thursday,6 single cwy,1 <= 20 mph,6 crossroads,2 auto sig,5 pedn phase at ats,2 dark,2 raining,2 road-wet,0 none,0 none,2016,6,1,603.0,16.254228477915834
106,106,-0.145169,51.536364,POINT (528741.7761319201 183570.3146883003),3 slight,1,Thursday,6 single cwy,2 30 mph,0 no jun in 20m,-2 not applicable,9 unknown (s/r),1 daylight,1 fine,9 unknown (s/r),0 none,0 none,2017,5,15,656.0,15.295047640422238
107,107,-0.166135,51.542089,POINT (527271.7951056368 184170.3049576263),3 slight,1,Tuesday,6 single cwy,1 <= 20 mph,2 mini,4 give way/uncontrolled,0 no xing facility in 50m,1 daylight,2 raining,2 road-wet,0 none,0 none,2017,6,16,1075.0,8.044011485571788
112,112,-0.128355,51.513885,POINT (529971.7897562007 181100.2637659319),2 serious,1,Tuesday,6 single cwy,2 30 mph,3 t/stag jun,4 give way/uncontrolled,1 zebra,2 dark,1 fine,1 road-dry,0 none,0 none,2017,12,8,303.0,9.920506317868458
114,114,-0.164789,51.554028,POINT (527331.8207961688 185500.3177520842),3 slight,1,Friday,2 one-way st,1 <= 20 mph,0 no jun in 20m,-2 not applicable,0 no xing facility in 50m,1 daylight,1 fine,1 road-dry,0 none,0 none,2016,4,16,1502.0,8.368050199523518
117,117,-0.119652,51.516291,POINT (530568.7755441028 181383.29901879),3 slight,1,Friday,6 single cwy,2 30 mph,0 no jun in 20m,-2 not applicable,0 no xing facility in 50m,1 daylight,1 fine,2 road-wet,0 none,0 none,2019,4,8,195.0,11.0512686478368
119,119,-0.179881,51.562627,POINT (526261.7751974126 186430.4264859194),3 slight,1,Sunday,6 single cwy,2 30 mph,1 roundabout,4 give way/uncontrolled,1 zebra,2 dark,1 fine,1 road-dry,0 none,0 none,2016,6,9,1338.0,10.727940656924307
122,122,-0.174884,51.543305,POINT (526661.7408113541 184290.3576981504),2 serious,1,Sunday,3 dual cwy,2 30 mph,7 multi jun,2 auto sig,5 pedn phase at ats,2 dark,1 fine,1 road-dry,0 none,0 none,2018,9,22,1245.0,12.036966214234058
124,124,-0.136804,51.539919,POINT (529311.8313723807 183980.3863220211),3 slight,1,Monday,2 one-way st,2 30 mph,3 t/stag jun,4 give way/uncontrolled,0 no xing facility in 50m,1 daylight,1 fine,1 road-dry,0 none,0 none,2017,6,11,478.0,2.870758522665837
125,125,-0.125833,51.522658,POINT (530121.793576722 182080.3311631199),3 slight,4,Friday,6 single cwy,2 30 mph,6 crossroads,2 auto sig,5 pedn phase at ats,2 dark,1 fine,1 road-dry,0 none,0 none,2015,12,7,274.0,17.95742038634535
126,126,-0.12894,51.524236,POINT (529901.76759479 182250.294640608),2 serious,1,Wednesday,6 single cwy,2 30 mph,3 t/stag jun,2 auto sig,4 pelican or similar,2 dark,2 raining,2 road-wet,0 none,0 none,2017,2,17,792.0,3.7126406243288854
127,127,-0.126697,51.515657,POINT (530081.7864953767 181300.2599189344),3 slight,1,Tuesday,6 single cwy,2 30 mph,6 crossroads,2 auto sig,5 pedn phase at ats,1 daylight,1 fine,1 road-dry,0 none,0 none,2015,3,6,328.0,6.972822850343408
129,129,-0.192299,51.53692,POINT (525471.7102768624 183550.3304975866),3 slight,1,Wednesday,6 single cwy,2 30 mph,3 t/stag jun,2 auto sig,5 pedn phase at ats,1 daylight,1 fine,1 road-dry,0 none,0 none,2018,2,18,1704.0,8.67434214173241
132,132,-0.135181,51.521431,POINT (529476.7809826698 181927.3159422824),3 slight,1,Thursday,6 single cwy,1 <= 20 mph,3 t/stag jun,2 auto sig,5 pedn phase at ats,2 dark,1 fine,2 road-wet,0 none,0 none,2019,9,21,799.0,2.9351310374269146
