,index,Longitude,Latitude,geometry,Severity,Number Of Casualties,Day,Road Type,Speed Limit,Junction Detail,Junction Control,Pedestrian Crossing,Light Condition Band,Weather,Road Surface,Special Conditions,Carriage Way Hazard,Year,Month,Hour
46,46,-0.146978,51.538335,POINT (528610.7679091254 183786.3190054601),3 slight,1,Monday,6 single cwy,1 <= 20 mph,7 multi jun,4 give way/uncontrolled,0 no xing facility in 50m,1 daylight,1 fine,1 road-dry,0 none,0 none,2019,11,1
47,47,-0.124928,51.530647,POINT (530161.8083972463 182970.3459791968),2 serious,2,Sunday,6 single cwy,1 <= 20 mph,9 other jun,2 auto sig,4 pelican or similar,2 dark,1 fine,1 road-dry,0 none,0 none,2018,11,0
48,48,-0.139232,51.526378,POINT (529181.7573342606 182470.2872275965),3 slight,1,Tuesday,6 single cwy,1 <= 20 mph,0 no jun in 20m,-2 not applicable,0 no xing facility in 50m,1 daylight,1 fine,1 road-dry,0 none,0 none,2016,5,9
49,49,-0.125198,51.541622,POINT (530111.8053191905 184190.3285715546),3 slight,1,Tuesday,6 single cwy,1 <= 20 mph,9 other jun,2 auto sig,0 no xing facility in 50m,2 dark,1 fine,1 road-dry,0 none,0 none,2018,11,23
50,50,-0.126679,51.525216,POINT (530055.8222234711 182363.2873470209),3 slight,1,Saturday,6 single cwy,1 <= 20 mph,3 t/stag jun,4 give way/uncontrolled,0 no xing facility in 50m,2 dark,2 raining,2 road-wet,0 none,0 none,2017,10,18
51,51,-0.13541,51.53522,POINT (529421.8177039778 183460.3014723574),2 serious,1,Friday,6 single cwy,2 30 mph,6 crossroads,2 auto sig,5 pedn phase at ats,1 daylight,1 fine,1 road-dry,0 none,0 none,2015,11,9
52,52,-0.133556,51.545649,POINT (529520.8089602079 184623.3273321294),3 slight,1,Tuesday,3 dual cwy,2 30 mph,0 no jun in 20m,-2 not applicable,0 no xing facility in 50m,2 dark,1 fine,1 road-dry,0 none,0 none,2019,12,16
53,53,-0.192275,51.541146,POINT (525461.7623484199 184020.3233875047),3 slight,1,Wednesday,6 single cwy,1 <= 20 mph,3 t/stag jun,4 give way/uncontrolled,1 zebra,1 daylight,1 fine,1 road-dry,0 none,0 none,2017,6,12
54,54,-0.149947,51.571421,POINT (528311.8070208123 187460.4216255066),3 slight,1,Friday,6 single cwy,2 30 mph,3 t/stag jun,4 give way/uncontrolled,1 zebra,2 dark,2 raining,2 road-wet,0 none,0 none,2015,11,20
55,55,-0.180744,51.551849,POINT (526231.7720031177 185230.3704853688),3 slight,1,Wednesday,6 single cwy,2 30 mph,6 crossroads,2 auto sig,5 pedn phase at ats,1 daylight,1 fine,1 road-dry,0 none,0 none,2015,4,15
56,56,-0.177691,51.545237,POINT (526461.7484187605 184500.3529275345),3 slight,2,Tuesday,3 dual cwy,2 30 mph,3 t/stag jun,4 give way/uncontrolled,0 no xing facility in 50m,2 dark,1 fine,1 road-dry,0 none,0 none,2016,11,19
57,57,-0.131993,51.518323,POINT (529706.7679744343 181587.3359497352),3 slight,1,Sunday,6 single cwy,1 <= 20 mph,0 no jun in 20m,-2 not applicable,5 pedn phase at ats,1 daylight,1 fine,1 road-dry,0 none,0 none,2019,8,14
58,58,-0.190102,51.553765,POINT (525577.7271338202 185427.344777718),3 slight,1,Wednesday,3 dual cwy,2 30 mph,3 t/stag jun,2 auto sig,0 no xing facility in 50m,1 daylight,1 fine,1 road-dry,0 none,0 none,2019,9,8
59,59,-0.126875,51.528879,POINT (530031.7981378702 182770.2785788953),3 slight,1,Friday,3 dual cwy,3 40 mph,0 no jun in 20m,-2 not applicable,5 pedn phase at ats,2 dark,1 fine,1 road-dry,0 none,0 none,2015,3,21
60,60,-0.120134,51.519635,POINT (530525.7807374424 181754.3043056353),3 slight,1,Wednesday,6 single cwy,2 30 mph,3 t/stag jun,4 give way/uncontrolled,5 pedn phase at ats,1 daylight,2 raining,2 road-wet,3 road sign def,0 none,2017,2,17
61,61,-0.171234,51.544417,POINT (526911.7441536018 184420.3380692563),2 serious,1,Monday,6 single cwy,1 <= 20 mph,3 t/stag jun,4 give way/uncontrolled,0 no xing facility in 50m,1 daylight,1 fine,1 road-dry,0 none,0 none,2018,1,8
62,62,-0.106993,51.518129,POINT (531441.789608859 181610.3347212807),2 serious,1,Thursday,6 single cwy,1 <= 20 mph,3 t/stag jun,4 give way/uncontrolled,5 pedn phase at ats,1 daylight,1 fine,1 road-dry,0 none,0 none,2016,7,17
63,63,-0.110306,51.522004,POINT (531200.8098312928 182035.307036481),2 serious,1,Wednesday,6 single cwy,2 30 mph,9 other jun,4 give way/uncontrolled,0 no xing facility in 50m,2 dark,1 fine,1 road-dry,0 none,0 none,2016,11,18
64,64,-0.194966,51.553327,POINT (525241.7309768002 185370.3043607863),2 serious,1,Wednesday,6 single cwy,2 30 mph,3 t/stag jun,4 give way/uncontrolled,0 no xing facility in 50m,1 daylight,1 fine,1 road-dry,0 none,0 none,2015,3,16
65,65,-0.137558,51.542664,POINT (529251.7730960569 184284.3102635865),2 serious,1,Wednesday,3 dual cwy,2 30 mph,6 crossroads,2 auto sig,5 pedn phase at ats,1 daylight,1 fine,1 road-dry,0 none,0 none,2019,5,15
66,66,-0.167255,51.553707,POINT (527161.7606681184 185460.3345011221),2 serious,1,Tuesday,6 single cwy,2 30 mph,3 t/stag jun,4 give way/uncontrolled,1 zebra,1 daylight,1 fine,1 road-dry,0 none,0 none,2017,6,12
67,67,-0.122353,51.533663,POINT (530331.8025879643 183310.316882089),2 serious,2,Friday,6 single cwy,1 <= 20 mph,3 t/stag jun,4 give way/uncontrolled,8 central refuge,2 dark,1 fine,1 road-dry,0 none,0 none,2015,11,23
68,68,-0.155961,51.553674,POINT (527944.8108519105 185476.3438488006),3 slight,1,Wednesday,6 single cwy,1 <= 20 mph,0 no jun in 20m,-2 not applicable,1 zebra,1 daylight,1 fine,1 road-dry,0 none,0 none,2019,3,16
69,69,-0.191385,51.549046,POINT (525501.7584904453 184900.3679721373),3 slight,1,Thursday,6 single cwy,1 <= 20 mph,3 t/stag jun,4 give way/uncontrolled,9 unknown (s/r),1 daylight,1 fine,1 road-dry,0 none,0 none,2017,9,7
70,70,-0.124089,51.530004,POINT (530221.8346271995 182900.3336666901),2 serious,1,Saturday,6 single cwy,1 <= 20 mph,9 other jun,2 auto sig,1 zebra,2 dark,1 fine,1 road-dry,0 none,0 none,2019,5,23
71,71,-0.149286,51.55927,POINT (528391.8090661134 186110.3322389748),3 slight,1,Wednesday,6 single cwy,1 <= 20 mph,3 t/stag jun,4 give way/uncontrolled,1 zebra,1 daylight,1 fine,1 road-dry,0 none,0 none,2017,12,8
72,72,-0.192591,51.555,POINT (525401.782825595 185560.4163884569),3 slight,1,Tuesday,6 single cwy,2 30 mph,3 t/stag jun,4 give way/uncontrolled,5 pedn phase at ats,1 daylight,1 fine,1 road-dry,0 none,0 none,2017,9,8
73,73,-0.151382,51.543521,POINT (528290.784466453 184355.2980790096),3 slight,1,Sunday,6 single cwy,1 <= 20 mph,3 t/stag jun,4 give way/uncontrolled,0 no xing facility in 50m,2 dark,1 fine,1 road-dry,0 none,0 none,2019,5,23
