,index,Longitude,Latitude,geometry,Severity,Number Of Casualties,Day,Road Type,Speed Limit,Junction Detail,Junction Control,Pedestrian Crossing,Light Condition Band,Weather,Road Surface,Special Conditions,Carriage Way Hazard,Year,Month,Hour
3175,3739,-0.171558,51.554314,POINT (526861.7670583412 185520.3699477727),3 slight,1,Wednesday,9 unknown,2 30 mph,0 no jun in 20m,-2 not applicable,9 unknown (s/r),2 dark,1 fine,1 road-dry,0 none,9 unknown (s/r),2017,7,21
3176,3740,-0.116802,51.517927,POINT (530761.8313429203 181570.3125644732),3 slight,1,Saturday,6 single cwy,2 30 mph,3 t/stag jun,4 give way/uncontrolled,0 no xing facility in 50m,1 daylight,1 fine,1 road-dry,0 none,0 none,2016,8,9
3177,3741,-0.192576,51.555035,POINT (525402.7264968726 185564.3342642033),3 slight,1,Friday,6 single cwy,2 30 mph,3 t/stag jun,4 give way/uncontrolled,0 no xing facility in 50m,1 daylight,1 fine,1 road-dry,0 none,0 none,2019,2,14
3178,3742,-0.13955,51.539782,POINT (529121.7950702304 183960.3050587102),3 slight,1,Monday,6 single cwy,2 30 mph,3 t/stag jun,4 give way/uncontrolled,0 no xing facility in 50m,2 dark,1 fine,1 road-dry,0 none,0 none,2016,3,19
3179,3744,-0.167601,51.552274,POINT (527141.7663724348 185300.3771032912),3 slight,1,Sunday,6 single cwy,1 <= 20 mph,0 no jun in 20m,-2 not applicable,0 no xing facility in 50m,2 dark,1 fine,1 road-dry,0 none,0 none,2017,6,3
3180,3745,-0.145792,51.527777,POINT (528722.7706388097 182614.3098922863),2 serious,1,Saturday,6 single cwy,2 30 mph,3 t/stag jun,4 give way/uncontrolled,0 no xing facility in 50m,1 daylight,1 fine,1 road-dry,0 none,0 none,2019,1,13
3181,3747,-0.151537,51.546447,POINT (528271.8145392421 184680.410556739),3 slight,3,Saturday,6 single cwy,2 30 mph,6 crossroads,2 auto sig,4 pelican or similar,2 dark,1 fine,1 road-dry,0 none,0 none,2017,2,19
3182,3748,-0.134985,51.549152,POINT (529411.7941526069 185010.3485024158),3 slight,1,Friday,6 single cwy,1 <= 20 mph,6 crossroads,4 give way/uncontrolled,0 no xing facility in 50m,1 daylight,1 fine,2 road-wet,0 none,0 none,2018,4,15
3183,3750,-0.166994,51.537238,POINT (527225.7460214668 183629.3589498964),3 slight,1,Thursday,6 single cwy,2 30 mph,3 t/stag jun,4 give way/uncontrolled,1 zebra,2 dark,1 fine,1 road-dry,0 none,2 other object in cwy,2017,10,2
3184,3751,-0.138719,51.528348,POINT (529211.7695381215 182690.2640227498),3 slight,2,Thursday,6 single cwy,2 30 mph,3 t/stag jun,4 give way/uncontrolled,8 central refuge,1 daylight,1 fine,1 road-dry,0 none,0 none,2018,5,18
3185,3752,-0.122508,51.533396,POINT (530321.8144714088 183280.3495886566),3 slight,1,Wednesday,6 single cwy,1 <= 20 mph,3 t/stag jun,2 auto sig,5 pedn phase at ats,2 dark,2 raining,2 road-wet,0 none,0 none,2017,1,21
3186,3755,-0.192645,51.539083,POINT (525441.7726012573 183790.2737591073),3 slight,1,Saturday,6 single cwy,2 30 mph,0 no jun in 20m,-2 not applicable,0 no xing facility in 50m,2 dark,1 fine,1 road-dry,0 none,0 none,2016,1,19
3187,3757,-0.117025,51.525466,POINT (530724.7862465554 182408.277687079),3 slight,1,Wednesday,6 single cwy,1 <= 20 mph,0 no jun in 20m,-2 not applicable,1 zebra,2 dark,1 fine,2 road-wet,0 none,0 none,2019,6,23
3188,3758,-0.141128,51.539987,POINT (529011.7876748155 183980.3202014908),3 slight,1,Thursday,6 single cwy,1 <= 20 mph,0 no jun in 20m,-2 not applicable,0 no xing facility in 50m,1 daylight,1 fine,1 road-dry,0 none,0 none,2018,5,11
3189,3759,-0.175219,51.542141,POINT (526641.740405721 184160.3359415119),3 slight,1,Wednesday,6 single cwy,2 30 mph,0 no jun in 20m,-2 not applicable,0 no xing facility in 50m,1 daylight,1 fine,1 road-dry,0 none,0 none,2015,9,8
3190,3761,-0.124389,51.529739,POINT (530201.7818221705 182870.3312062463),3 slight,2,Friday,3 dual cwy,2 30 mph,3 t/stag jun,4 give way/uncontrolled,4 pelican or similar,1 daylight,1 fine,1 road-dry,0 none,0 none,2015,8,13
3191,3762,-0.127977,51.528384,POINT (529956.768977909 182713.2764223222),3 slight,1,Wednesday,3 dual cwy,2 30 mph,3 t/stag jun,2 auto sig,5 pedn phase at ats,2 dark,1 fine,1 road-dry,0 none,0 none,2017,2,1
3192,3763,-0.162819,51.549232,POINT (527481.7861651296 184970.4086400039),2 serious,1,Tuesday,6 single cwy,1 <= 20 mph,3 t/stag jun,4 give way/uncontrolled,8 central refuge,1 daylight,1 fine,2 road-wet,0 none,0 none,2016,11,9
3193,3765,-0.183385,51.550721,POINT (526051.7918257285 185100.3806858569),3 slight,1,Friday,6 single cwy,2 30 mph,0 no jun in 20m,-2 not applicable,5 pedn phase at ats,1 daylight,1 fine,1 road-dry,0 none,0 none,2015,2,8
3194,3766,-0.129013,51.518932,POINT (529911.7847889324 181660.3408412556),2 serious,1,Sunday,2 one-way st,1 <= 20 mph,3 t/stag jun,2 auto sig,0 no xing facility in 50m,2 dark,1 fine,1 road-dry,0 none,0 none,2018,1,21
3195,3768,-0.198988,51.545701,POINT (524983.7820618299 184515.3807702303),3 slight,1,Thursday,6 single cwy,2 30 mph,0 no jun in 20m,-2 not applicable,0 no xing facility in 50m,2 dark,1 fine,1 road-dry,0 none,0 none,2017,3,21
3196,3769,-0.193234,51.54242,POINT (525391.7619770335 184160.3556260394),3 slight,1,Wednesday,6 single cwy,2 30 mph,3 t/stag jun,4 give way/uncontrolled,0 no xing facility in 50m,2 dark,1 fine,1 road-dry,0 none,1 vehicle load in cwy,2015,10,16
3197,3770,-0.178696,51.542465,POINT (526399.7383667814 184190.3578701266),3 slight,1,Saturday,6 single cwy,1 <= 20 mph,0 no jun in 20m,-2 not applicable,0 no xing facility in 50m,1 daylight,1 fine,1 road-dry,0 none,0 none,2019,8,14
3198,3771,-0.148084,51.542705,POINT (528521.7666094002 184270.339535922),3 slight,1,Tuesday,6 single cwy,1 <= 20 mph,3 t/stag jun,9 unknown (s/r),1 zebra,1 daylight,1 fine,1 road-dry,0 none,0 none,2018,9,8
3199,3772,-0.125146,51.514823,POINT (530191.7750451923 181210.2720475307),3 slight,1,Friday,2 one-way st,2 30 mph,6 crossroads,4 give way/uncontrolled,1 zebra,1 daylight,1 fine,1 road-dry,0 none,0 none,2016,1,12
3200,3773,-0.192601,51.540926,POINT (525439.7604814698 183995.2997484028),3 slight,1,Friday,3 dual cwy,1 <= 20 mph,6 crossroads,4 give way/uncontrolled,8 central refuge,2 dark,1 fine,2 road-wet,0 none,0 none,2019,5,21
3201,3775,-0.124544,51.51895,POINT (530221.7823454962 181670.2793075495),3 slight,1,Thursday,6 single cwy,1 <= 20 mph,3 t/stag jun,4 give way/uncontrolled,1 zebra,1 daylight,1 fine,1 road-dry,0 none,0 none,2017,4,11
3202,3776,-0.187281,51.53981,POINT (525811.7498663561 183880.3229356642),3 slight,1,Thursday,6 single cwy,1 <= 20 mph,6 crossroads,2 auto sig,4 pelican or similar,2 dark,1 fine,1 road-dry,0 none,0 none,2017,6,21
3203,3777,-0.145537,51.541496,POINT (528701.7881534504 184140.3677126642),3 slight,1,Saturday,2 one-way st,2 30 mph,0 no jun in 20m,-2 not applicable,0 no xing facility in 50m,2 dark,1 fine,1 road-dry,0 none,0 none,2015,9,23
3204,3780,-0.167808,51.53779,POINT (527167.7576443636 183689.32977278),3 slight,1,Wednesday,6 single cwy,2 30 mph,3 t/stag jun,9 unknown (s/r),5 pedn phase at ats,1 daylight,1 fine,1 road-dry,0 none,1 vehicle load in cwy,2019,5,9
3205,3781,-0.118438,51.520201,POINT (530641.8249530739 181820.2695660442),3 slight,1,Monday,6 single cwy,2 30 mph,3 t/stag jun,4 give way/uncontrolled,0 no xing facility in 50m,1 daylight,1 fine,1 road-dry,0 none,0 none,2015,12,11
3206,3782,-0.169147,51.546093,POINT (527051.7905501924 184610.3368181893),3 slight,1,Monday,6 single cwy,1 <= 20 mph,0 no jun in 20m,-2 not applicable,0 no xing facility in 50m,1 daylight,1 fine,1 road-dry,0 none,0 none,2016,4,10
3207,3783,-0.134284,51.520454,POINT (529541.779523693 181820.256128741),2 serious,1,Tuesday,2 one-way st,2 30 mph,99 unknown (s/r),9 unknown (s/r),5 pedn phase at ats,1 daylight,1 fine,1 road-dry,0 none,0 none,2018,9,9
3208,3784,-0.130471,51.51641,POINT (529817.79705841 181377.3000170213),3 slight,1,Friday,3 dual cwy,1 <= 20 mph,9 other jun,2 auto sig,0 no xing facility in 50m,1 daylight,9 unknown,1 road-dry,0 none,0 none,2019,3,20
3209,3786,-0.120193,51.5196,POINT (530521.7875050438 181750.3070306887),3 slight,1,Tuesday,3 dual cwy,1 <= 20 mph,3 t/stag jun,3 stop sign,0 no xing facility in 50m,1 daylight,1 fine,1 road-dry,0 none,0 none,2018,9,22
3210,3787,-0.130414,51.516391,POINT (529821.8057861088 181375.2881825378),3 slight,1,Wednesday,6 single cwy,2 30 mph,6 crossroads,2 auto sig,4 pelican or similar,2 dark,1 fine,1 road-dry,0 none,0 none,2017,4,21
3211,3788,-0.136372,51.532502,POINT (529362.7992860413 183156.3490768713),3 slight,1,Sunday,3 dual cwy,1 <= 20 mph,3 t/stag jun,4 give way/uncontrolled,0 no xing facility in 50m,2 dark,1 fine,1 road-dry,0 none,0 none,2019,3,18
3212,3789,-0.133287,51.535663,POINT (529567.7971040243 183513.3194757942),2 serious,1,Monday,6 single cwy,1 <= 20 mph,3 t/stag jun,2 auto sig,4 pelican or similar,2 dark,2 raining,2 road-wet,0 none,0 none,2019,11,17
3213,3794,-0.142819,51.538818,POINT (528897.8241039736 183847.3442341968),3 slight,1,Friday,2 one-way st,1 <= 20 mph,3 t/stag jun,2 auto sig,5 pedn phase at ats,1 daylight,1 fine,1 road-dry,0 none,0 none,2019,7,17
3214,3795,-0.141886,51.542607,POINT (528951.823205019 184270.3398353075),3 slight,2,Friday,6 single cwy,1 <= 20 mph,6 crossroads,2 auto sig,4 pelican or similar,2 dark,2 raining,2 road-wet,0 none,1 vehicle load in cwy,2018,7,20
3215,3796,-0.14029,51.540379,POINT (529068.7912784786 184025.3891673994),3 slight,1,Tuesday,6 single cwy,1 <= 20 mph,0 no jun in 20m,-2 not applicable,0 no xing facility in 50m,1 daylight,1 fine,1 road-dry,0 none,0 none,2019,6,9
3216,3797,-0.144518,51.570076,POINT (528691.8211927206 187320.3835979979),2 serious,1,Tuesday,6 single cwy,2 30 mph,3 t/stag jun,4 give way/uncontrolled,4 pelican or similar,1 daylight,1 fine,1 road-dry,0 none,0 none,2016,8,7
3217,3799,-0.181706,51.549436,POINT (526171.748774018 184960.3746624794),3 slight,1,Monday,6 single cwy,2 30 mph,3 t/stag jun,4 give way/uncontrolled,0 no xing facility in 50m,1 daylight,1 fine,1 road-dry,0 none,0 none,2015,3,14
3218,3800,-0.19258,51.537104,POINT (525451.717171617 183570.3107131596),3 slight,1,Thursday,9 unknown,2 30 mph,3 t/stag jun,4 give way/uncontrolled,9 unknown (s/r),1 daylight,9 unknown,9 unknown (s/r),9 unknown (s/r),9 unknown (s/r),2018,1,17
3219,3801,-0.150377,51.560816,POINT (528311.8367778393 186280.34151262),3 slight,1,Saturday,6 single cwy,1 <= 20 mph,3 t/stag jun,4 give way/uncontrolled,0 no xing facility in 50m,1 daylight,1 fine,1 road-dry,0 none,0 none,2016,9,15
3220,3804,-0.130818,51.534698,POINT (529741.7696096429 183410.3796006696),3 slight,1,Sunday,6 single cwy,1 <= 20 mph,0 no jun in 20m,-2 not applicable,5 pedn phase at ats,1 daylight,1 fine,1 road-dry,0 none,0 none,2017,5,10
3221,3805,-0.133366,51.523164,POINT (529597.7785786227 182123.2424587083),3 slight,1,Monday,9 unknown,2 30 mph,0 no jun in 20m,-2 not applicable,9 unknown (s/r),1 daylight,9 unknown,9 unknown (s/r),9 unknown (s/r),9 unknown (s/r),2019,10,13
3222,3808,-0.196279,51.540542,POINT (525185.7630673195 183946.3022295919),2 serious,1,Friday,6 single cwy,2 30 mph,3 t/stag jun,4 give way/uncontrolled,5 pedn phase at ats,1 daylight,1 fine,1 road-dry,0 none,0 none,2019,9,7
3223,3810,-0.13187,51.522736,POINT (529702.7731618687 182078.2957277301),3 slight,1,Friday,6 single cwy,1 <= 20 mph,3 t/stag jun,4 give way/uncontrolled,1 zebra,2 dark,2 raining,2 road-wet,0 none,0 none,2019,2,12
3224,3812,-0.129819,51.52389,POINT (529841.7750946273 182210.2593085424),3 slight,1,Thursday,6 single cwy,2 30 mph,6 crossroads,2 auto sig,5 pedn phase at ats,1 daylight,1 fine,1 road-dry,0 none,0 none,2015,10,11
3225,3814,-0.131389,51.527782,POINT (529721.8109669063 182640.2819786269),3 slight,1,Tuesday,6 single cwy,2 30 mph,9 other jun,2 auto sig,5 pedn phase at ats,1 daylight,1 fine,1 road-dry,0 none,0 none,2016,5,13
3226,3815,-0.181024,51.548436,POINT (526221.7983709584 184850.3453873899),3 slight,1,Sunday,3 dual cwy,2 30 mph,6 crossroads,2 auto sig,5 pedn phase at ats,1 daylight,1 fine,1 road-dry,0 none,0 none,2018,5,13
3227,3816,-0.112243,51.523609,POINT (531061.8299796459 182210.3201336838),3 slight,1,Tuesday,6 single cwy,2 30 mph,6 crossroads,4 give way/uncontrolled,1 zebra,1 daylight,1 fine,2 road-wet,0 none,0 none,2015,3,8
3228,3817,-0.124459,51.51751,POINT (530231.7836606131 181510.2973272777),3 slight,1,Thursday,2 one-way st,2 30 mph,0 no jun in 20m,-2 not applicable,0 no xing facility in 50m,1 daylight,1 fine,1 road-dry,0 none,0 none,2015,6,15
3229,3818,-0.133585,51.54565,POINT (529518.7953466936 184623.3872311102),3 slight,1,Tuesday,6 single cwy,2 30 mph,3 t/stag jun,9 unknown (s/r),9 unknown (s/r),1 daylight,1 fine,2 road-wet,0 none,0 none,2019,2,9
3230,3819,-0.143385,51.537685,POINT (528861.7708836928 183720.3536384101),3 slight,3,Sunday,6 single cwy,2 30 mph,8 priv drive,4 give way/uncontrolled,0 no xing facility in 50m,1 daylight,1 fine,1 road-dry,0 none,0 none,2016,10,14
3231,3820,-0.189318,51.542989,POINT (525661.7411518117 184230.3450276957),3 slight,1,Monday,6 single cwy,1 <= 20 mph,3 t/stag jun,4 give way/uncontrolled,0 no xing facility in 50m,1 daylight,1 fine,1 road-dry,0 none,0 none,2017,3,16
3232,3821,-0.132488,51.54637,POINT (529592.8140339487 184705.3955220708),2 serious,1,Thursday,6 single cwy,2 30 mph,3 t/stag jun,2 auto sig,4 pelican or similar,1 daylight,1 fine,1 road-dry,0 none,0 none,2019,6,11
3233,3822,-0.142175,51.563834,POINT (528871.8256967751 186630.3667935383),3 slight,2,Monday,2 one-way st,2 30 mph,3 t/stag jun,4 give way/uncontrolled,0 no xing facility in 50m,2 dark,1 fine,1 road-dry,0 none,0 none,2018,3,1
3234,3823,-0.192572,51.551852,POINT (525411.7504773288 185210.3752259324),3 slight,1,Tuesday,6 single cwy,1 <= 20 mph,3 t/stag jun,4 give way/uncontrolled,1 zebra,2 dark,2 raining,2 road-wet,0 none,0 none,2018,12,17
3235,3825,-0.121962,51.518639,POINT (530401.802951174 181640.2891945253),1 fatal,1,Friday,2 one-way st,2 30 mph,3 t/stag jun,4 give way/uncontrolled,0 no xing facility in 50m,2 dark,1 fine,1 road-dry,0 none,0 none,2015,6,21
3236,3827,-0.129519,51.520648,POINT (529871.8019096544 181850.2688677684),3 slight,1,Monday,6 single cwy,1 <= 20 mph,3 t/stag jun,4 give way/uncontrolled,0 no xing facility in 50m,1 daylight,1 fine,1 road-dry,0 none,0 none,2017,7,17
3237,3828,-0.139728,51.529399,POINT (529138.8102440344 182805.3594753923),3 slight,1,Friday,9 unknown,1 <= 20 mph,9 other jun,2 auto sig,5 pedn phase at ats,1 daylight,8 other,1 road-dry,0 none,0 none,2019,12,17
3238,3829,-0.165091,51.535778,POINT (527361.7914901233 183470.3087583996),3 slight,1,Wednesday,6 single cwy,2 30 mph,6 crossroads,3 stop sign,1 zebra,1 daylight,1 fine,1 road-dry,0 none,0 none,2017,6,9
3239,3831,-0.193974,51.538295,POINT (525351.7728624875 183700.3682970995),2 serious,1,Thursday,6 single cwy,2 30 mph,3 t/stag jun,4 give way/uncontrolled,4 pelican or similar,1 daylight,1 fine,1 road-dry,0 none,0 none,2016,7,14
3240,3832,-0.139407,51.532676,POINT (529151.8082845216 183170.341087779),3 slight,1,Thursday,6 single cwy,2 30 mph,0 no jun in 20m,-2 not applicable,1 zebra,2 dark,2 raining,2 road-wet,0 none,0 none,2016,3,23
3241,3833,-0.140848,51.549668,POINT (529003.8432443343 185057.3819017212),3 slight,1,Thursday,3 dual cwy,1 <= 20 mph,3 t/stag jun,4 give way/uncontrolled,4 pelican or similar,1 daylight,1 fine,1 road-dry,0 none,0 none,2017,7,13
3242,3834,-0.105788,51.519728,POINT (531520.7881336638 181790.3121601766),2 serious,1,Wednesday,6 single cwy,2 30 mph,99 unknown (s/r),9 unknown (s/r),1 zebra,1 daylight,1 fine,1 road-dry,0 none,0 none,2019,6,19
3243,3836,-0.135659,51.525602,POINT (529431.8024117725 182390.3020410838),3 slight,1,Monday,3 dual cwy,2 30 mph,0 no jun in 20m,-2 not applicable,5 pedn phase at ats,1 daylight,1 fine,1 road-dry,0 none,0 none,2017,6,9
3244,3837,-0.126387,51.516192,POINT (530101.7719070239 181360.304449492),3 slight,2,Saturday,2 one-way st,2 30 mph,6 crossroads,2 auto sig,5 pedn phase at ats,2 dark,2 raining,2 road-wet,0 none,0 none,2016,2,17
3245,3838,-0.117113,51.52054,POINT (530732.7777006334 181860.3319987702),3 slight,1,Thursday,3 dual cwy,2 30 mph,3 t/stag jun,1 auth person,5 pedn phase at ats,1 daylight,1 fine,1 road-dry,0 none,0 none,2017,11,9
3246,3840,-0.144764,51.539235,POINT (528761.7670611026 183890.2940672518),3 slight,1,Thursday,6 single cwy,1 <= 20 mph,3 t/stag jun,4 give way/uncontrolled,0 no xing facility in 50m,2 dark,1 fine,1 road-dry,0 none,0 none,2018,8,21
3247,3842,-0.143034,51.539208,POINT (528881.8135097827 183890.3353838025),3 slight,1,Friday,2 one-way st,1 <= 20 mph,6 crossroads,2 auto sig,4 pelican or similar,2 dark,8 other,1 road-dry,0 none,0 none,2018,9,22
3248,3844,-0.120333,51.526706,POINT (530491.775628513 182540.2701791922),3 slight,1,Thursday,6 single cwy,2 30 mph,0 no jun in 20m,-2 not applicable,0 no xing facility in 50m,1 daylight,1 fine,1 road-dry,0 none,0 none,2017,6,9
3249,3848,-0.146811,51.563368,POINT (528551.8198351311 186570.3929008934),3 slight,1,Friday,6 single cwy,2 30 mph,3 t/stag jun,4 give way/uncontrolled,0 no xing facility in 50m,1 daylight,1 fine,2 road-wet,0 none,0 none,2015,5,8
3250,3849,-0.191043,51.546388,POINT (525532.7798026608 184605.3714201545),2 serious,1,Tuesday,6 single cwy,1 <= 20 mph,3 t/stag jun,4 give way/uncontrolled,0 no xing facility in 50m,2 dark,1 fine,1 road-dry,0 none,0 none,2019,1,1
3251,3851,-0.14243,51.552984,POINT (528884.7966674428 185423.3490291427),3 slight,1,Wednesday,3 dual cwy,1 <= 20 mph,0 no jun in 20m,-2 not applicable,0 no xing facility in 50m,1 daylight,1 fine,1 road-dry,0 none,0 none,2019,11,17
3252,3852,-0.1713,51.551378,POINT (526887.8156055964 185194.3197655283),2 serious,2,Wednesday,6 single cwy,1 <= 20 mph,6 crossroads,4 give way/uncontrolled,0 no xing facility in 50m,2 dark,1 fine,1 road-dry,0 none,0 none,2019,4,22
3253,3853,-0.137446,51.54081,POINT (529264.7886611602 184078.3355139483),3 slight,1,Friday,2 one-way st,1 <= 20 mph,3 t/stag jun,4 give way/uncontrolled,1 zebra,1 daylight,4 fine/high winds,2 road-wet,1 traf sig out,0 none,2019,3,7
3254,3854,-0.122623,51.53061,POINT (530321.788403887 182970.3312275237),3 slight,1,Saturday,3 dual cwy,2 30 mph,6 crossroads,2 auto sig,4 pelican or similar,1 daylight,1 fine,1 road-dry,0 none,0 none,2016,3,11
3255,3855,-0.188838,51.540553,POINT (525701.7318571374 183960.2739121308),3 slight,1,Friday,6 single cwy,1 <= 20 mph,6 crossroads,4 give way/uncontrolled,8 central refuge,1 daylight,1 fine,1 road-dry,0 none,0 none,2017,7,20
3256,3856,-0.131592,51.522839,POINT (529721.7660944221 182090.2421105165),3 slight,1,Saturday,2 one-way st,1 <= 20 mph,6 crossroads,4 give way/uncontrolled,1 zebra,2 dark,1 fine,1 road-dry,0 none,0 none,2015,10,2
3257,3857,-0.136293,51.519974,POINT (529403.7637322147 181763.3266666651),3 slight,1,Monday,9 unknown,1 <= 20 mph,0 no jun in 20m,-2 not applicable,1 zebra,1 daylight,3 snowing,4 road-frost/ice,0 none,0 none,2018,5,7
3258,3858,-0.153115,51.564456,POINT (528111.8322065948 186680.3305746702),3 slight,1,Saturday,6 single cwy,1 <= 20 mph,0 no jun in 20m,-2 not applicable,0 no xing facility in 50m,2 dark,1 fine,1 road-dry,0 none,0 none,2018,9,0
3259,3859,-0.111314,51.518198,POINT (531141.8060145129 181610.2614961553),3 slight,1,Monday,6 single cwy,1 <= 20 mph,3 t/stag jun,2 auto sig,5 pedn phase at ats,1 daylight,1 fine,2 road-wet,0 none,0 none,2017,7,6
3260,3860,-0.143439,51.546633,POINT (528832.7726467601 184715.3141004571),2 serious,1,Friday,6 single cwy,2 30 mph,9 other jun,2 auto sig,5 pedn phase at ats,1 daylight,1 fine,1 road-dry,4 roadworks,0 none,2016,11,14
3261,3861,-0.143154,51.525631,POINT (528911.8100317516 182380.3065710188),2 serious,1,Thursday,6 single cwy,2 30 mph,6 crossroads,4 give way/uncontrolled,0 no xing facility in 50m,1 daylight,1 fine,1 road-dry,4 roadworks,0 none,2015,11,9
3262,3862,-0.134701,51.544804,POINT (529443.8140892059 184527.3347502748),3 slight,1,Wednesday,6 single cwy,2 30 mph,3 t/stag jun,9 unknown (s/r),9 unknown (s/r),1 daylight,2 raining,2 road-wet,0 none,0 none,2019,8,8
3263,3863,-0.109112,51.519152,POINT (531291.836476471 181720.2947962303),3 slight,1,Sunday,2 one-way st,1 <= 20 mph,9 other jun,4 give way/uncontrolled,0 no xing facility in 50m,2 dark,1 fine,1 road-dry,0 none,0 none,2018,6,2
3264,3864,-0.192062,51.539254,POINT (525481.7323224081 183810.2887516216),3 slight,1,Friday,6 single cwy,2 30 mph,0 no jun in 20m,-2 not applicable,0 no xing facility in 50m,1 daylight,1 fine,1 road-dry,0 none,0 none,2016,1,13
3265,3866,-0.135551,51.535312,POINT (529411.7782081764 183470.2830260111),3 slight,1,Saturday,6 single cwy,1 <= 20 mph,6 crossroads,2 auto sig,5 pedn phase at ats,2 dark,1 fine,1 road-dry,0 none,0 none,2015,10,20
3266,3867,-0.171806,51.548113,POINT (526861.8099596687 184830.359288876),3 slight,1,Wednesday,6 single cwy,1 <= 20 mph,0 no jun in 20m,-2 not applicable,0 no xing facility in 50m,2 dark,1 fine,2 road-wet,0 none,0 none,2017,1,6
3267,3868,-0.124684,51.529564,POINT (530181.8190565339 182850.3460567909),3 slight,1,Tuesday,3 dual cwy,2 30 mph,0 no jun in 20m,-2 not applicable,0 no xing facility in 50m,1 daylight,1 fine,1 road-dry,0 none,0 none,2015,4,20
3268,3869,-0.145698,51.562361,POINT (528631.8015158647 186460.3652346461),3 slight,2,Tuesday,6 single cwy,1 <= 20 mph,3 t/stag jun,4 give way/uncontrolled,0 no xing facility in 50m,1 daylight,1 fine,1 road-dry,0 none,0 none,2017,7,15
3269,3870,-0.137397,51.540944,POINT (529267.8071374267 184093.3233794923),3 slight,1,Tuesday,2 one-way st,1 <= 20 mph,0 no jun in 20m,-2 not applicable,1 zebra,1 daylight,1 fine,1 road-dry,0 none,0 none,2017,8,17
3270,3871,-0.12495,51.523093,POINT (530181.8094840357 182130.274042417),3 slight,1,Wednesday,2 one-way st,2 30 mph,6 crossroads,4 give way/uncontrolled,1 zebra,2 dark,1 fine,1 road-dry,0 none,0 none,2016,12,18
3271,3872,-0.131761,51.546853,POINT (529641.8494996803 184760.3942812976),3 slight,1,Wednesday,6 single cwy,2 30 mph,0 no jun in 20m,-2 not applicable,0 no xing facility in 50m,1 daylight,1 fine,1 road-dry,0 none,0 none,2015,3,11
3272,3873,-0.131592,51.517911,POINT (529735.7586052024 181542.230302711),2 serious,1,Tuesday,3 dual cwy,1 <= 20 mph,0 no jun in 20m,-2 not applicable,0 no xing facility in 50m,1 daylight,1 fine,1 road-dry,0 none,0 none,2019,9,18
3273,3874,-0.122364,51.536901,POINT (530321.7983691214 183670.3752623189),3 slight,1,Monday,6 single cwy,2 30 mph,6 crossroads,2 auto sig,0 no xing facility in 50m,1 daylight,1 fine,1 road-dry,0 none,0 none,2017,10,18
3274,3876,-0.154723,51.553978,POINT (528029.7824362416 185512.3145418388),3 slight,1,Sunday,6 single cwy,2 30 mph,0 no jun in 20m,-2 not applicable,1 zebra,1 daylight,1 fine,1 road-dry,0 none,0 none,2018,12,10
3275,3877,-0.128093,51.516759,POINT (529981.7936057012 181420.327756777),3 slight,1,Monday,6 single cwy,1 <= 20 mph,3 t/stag jun,4 give way/uncontrolled,4 pelican or similar,2 dark,2 raining,2 road-wet,0 none,0 none,2017,2,18
3276,3879,-0.132889,51.550657,POINT (529552.8414888701 185181.418141646),2 serious,1,Saturday,6 single cwy,1 <= 20 mph,3 t/stag jun,4 give way/uncontrolled,4 pelican or similar,1 daylight,1 fine,1 road-dry,0 none,0 none,2019,6,10
3277,3880,-0.146868,51.537128,POINT (528621.7961611648 183652.2887502151),3 slight,1,Saturday,6 single cwy,1 <= 20 mph,3 t/stag jun,2 auto sig,5 pedn phase at ats,1 daylight,1 fine,1 road-dry,0 none,0 none,2019,11,11
3278,3883,-0.134877,51.544744,POINT (529431.7806517989 184520.3513327303),3 slight,1,Friday,6 single cwy,2 30 mph,3 t/stag jun,4 give way/uncontrolled,0 no xing facility in 50m,1 daylight,1 fine,1 road-dry,0 none,0 none,2016,5,8
3279,3884,-0.125386,51.515996,POINT (530171.7814649256 181340.2871874289),3 slight,1,Tuesday,2 one-way st,1 <= 20 mph,3 t/stag jun,4 give way/uncontrolled,1 zebra,2 dark,2 raining,2 road-wet,0 none,0 none,2016,11,19
3280,3887,-0.152507,51.554555,POINT (528181.7850382457 185580.3576125004),3 slight,1,Sunday,6 single cwy,2 30 mph,3 t/stag jun,4 give way/uncontrolled,0 no xing facility in 50m,1 daylight,1 fine,1 road-dry,0 none,0 none,2016,8,11
3281,3888,-0.151574,51.554442,POINT (528246.7816424414 185569.425646559),3 slight,1,Wednesday,3 dual cwy,1 <= 20 mph,0 no jun in 20m,-2 not applicable,9 unknown (s/r),1 daylight,1 fine,1 road-dry,0 none,0 none,2019,5,14
3282,3893,-0.188827,51.552792,POINT (525668.7961125108 185321.3301761028),3 slight,1,Friday,3 dual cwy,2 30 mph,7 multi jun,2 auto sig,4 pelican or similar,1 daylight,1 fine,1 road-dry,0 none,0 none,2019,3,16
3283,3894,-0.194811,51.539027,POINT (525291.7193130347 183780.3377044533),2 serious,1,Tuesday,6 single cwy,2 30 mph,3 t/stag jun,4 give way/uncontrolled,4 pelican or similar,1 daylight,1 fine,1 road-dry,0 none,0 none,2015,10,15
3284,3895,-0.197597,51.541498,POINT (525091.7465240017 184050.3615715288),3 slight,1,Sunday,6 single cwy,2 30 mph,6 crossroads,2 auto sig,5 pedn phase at ats,2 dark,2 raining,2 road-wet,0 none,0 none,2017,5,20
